                                     Name   Anys   Exprs   Coverage
-------------------------------------------------------------------
                                scriptrag      0       2    100.00%
                         scriptrag.agents      0       1    100.00%
            scriptrag.agents.agent_loader     14     288     95.14%
              scriptrag.agents.agent_spec     23     165     86.06%
           scriptrag.agents.context_query     27     525     94.86%
                  scriptrag.agents.loader      0       1    100.00%
 scriptrag.agents.markdown_agent_analyzer     89     654     86.39%
                   scriptrag.agents.types      0      34    100.00%
                      scriptrag.analyzers      0       1    100.00%
                 scriptrag.analyzers.base      0      20    100.00%
              scriptrag.analyzers.builtin      0       2    100.00%
            scriptrag.analyzers.embedding     56     499     88.78%
                            scriptrag.api      0       1    100.00%
                    scriptrag.api.analyze     63     633     90.05%
                scriptrag.api.bible_index     64     575     88.87%
                   scriptrag.api.database     20     239     91.63%
        scriptrag.api.database_operations      0     211    100.00%
              scriptrag.api.db_connection      2      99     97.98%
           scriptrag.api.db_embedding_ops     27     168     83.93%
               scriptrag.api.db_scene_ops     39     298     86.91%
              scriptrag.api.db_script_ops     33     251     86.85%
          scriptrag.api.embedding_service     64     593     89.21%
                      scriptrag.api.index     75     824     90.90%
                       scriptrag.api.list     19     458     95.85%
                      scriptrag.api.query      5     101     95.05%
             scriptrag.api.scene_database     46     645     92.87%
           scriptrag.api.scene_management     37     608     93.91%
               scriptrag.api.scene_models      0     223    100.00%
            scriptrag.api.scene_validator      5     123     95.93%
                     scriptrag.api.search      8     165     95.15%
            scriptrag.api.semantic_search    109     701     84.45%
        scriptrag.api.semantic_search_vss     99     646     84.67%
                      scriptrag.api.types      0      49    100.00%
                            scriptrag.cli      0       1    100.00%
                   scriptrag.cli.__main__      0       4    100.00%
                   scriptrag.cli.commands      0       1    100.00%
           scriptrag.cli.commands.analyze      8     233     96.57%
             scriptrag.cli.commands.index      5     349     98.57%
              scriptrag.cli.commands.init      0     195    100.00%
              scriptrag.cli.commands.list      0     213    100.00%
               scriptrag.cli.commands.mcp     14      42     66.67%
              scriptrag.cli.commands.pull      5     327     98.47%
             scriptrag.cli.commands.query     56     466     87.98%
             scriptrag.cli.commands.scene     20     709     97.18%
            scriptrag.cli.commands.search      2     118     98.31%
             scriptrag.cli.commands.watch     53     395     86.58%
                       scriptrag.cli.main      1      64     98.44%
        scriptrag.cli.utils.error_handler     16     145     88.97%
         scriptrag.cli.utils.file_watcher      8     369     97.83%
                         scriptrag.common      0       1    100.00%
             scriptrag.common.file_source     50     427     88.29%
                   scriptrag.common.types      0      16    100.00%
                         scriptrag.config      2      19     89.47%
                 scriptrag.config.logging      7     154     95.45%
                scriptrag.config.settings     51     407     87.47%
                scriptrag.config.template      0     137    100.00%
              scriptrag.database.readonly      3     245     98.78%
                     scriptrag.exceptions     10     340     97.06%
                            scriptrag.llm      0       1    100.00%
                       scriptrag.llm.base      0      11    100.00%
                     scriptrag.llm.client     79     805     90.19%
             scriptrag.llm.discovery_base     23     214     89.25%
            scriptrag.llm.discovery_types      0       6    100.00%
                   scriptrag.llm.fallback     59     787     92.50%
                    scriptrag.llm.metrics      0     187    100.00%
                scriptrag.llm.model_cache     78     542     85.61%
            scriptrag.llm.model_discovery    105     538     80.48%
                     scriptrag.llm.models      5     134     96.27%
                  scriptrag.llm.protocols      0      26    100.00%
                  scriptrag.llm.providers      0       1    100.00%
      scriptrag.llm.providers.claude_code     59     602     90.20%
    scriptrag.llm.providers.claude_schema     15     218     93.12%
     scriptrag.llm.providers.claude_types      0      25    100.00%
    scriptrag.llm.providers.github_models    136     748     81.82%
scriptrag.llm.providers.openai_compatible    103     638     83.86%
                   scriptrag.llm.registry     19     179     89.39%
             scriptrag.llm.retry_strategy     21     234     91.03%
                      scriptrag.llm.types      0      31    100.00%
                           scriptrag.main     50     434     88.48%
                            scriptrag.mcp      0       1    100.00%
                     scriptrag.mcp.server      2      29     93.10%
                scriptrag.mcp.tools.query     23     223     89.69%
                scriptrag.mcp.tools.scene     17     318     94.65%
               scriptrag.mcp.tools.search      5     165     96.97%
                      scriptrag.mcp.utils      3      22     86.36%
                         scriptrag.parser      0       1    100.00%
            scriptrag.parser.bible_parser      4     542     99.26%
         scriptrag.parser.fountain_models      0      93    100.00%
         scriptrag.parser.fountain_parser     13     458     97.16%
      scriptrag.parser.fountain_processor     53     456     88.38%
                          scriptrag.query      0       1    100.00%
                   scriptrag.query.engine     30     401     92.52%
                scriptrag.query.formatter     30     308     90.26%
                   scriptrag.query.loader     41     474     91.35%
                     scriptrag.query.spec     23     448     94.87%
                         scriptrag.search      0       1    100.00%
                 scriptrag.search.builder      0     610    100.00%
                  scriptrag.search.engine     90     646     86.07%
               scriptrag.search.formatter     75     614     87.79%
                  scriptrag.search.models      3     270     98.89%
                  scriptrag.search.parser      8     208     96.15%
        scriptrag.search.semantic_adapter     25     280     91.07%
                  scriptrag.search.vector     72     574     87.46%
            scriptrag.storage.vss_service    125     665     81.20%
                          scriptrag.types      0     103    100.00%
                          scriptrag.utils      0       1    100.00%
              scriptrag.utils.llm_factory      5      92     94.57%
               scriptrag.utils.screenplay     49     361     86.43%
-------------------------------------------------------------------
                                    Total   2683   29906     91.03%
