                                     Name   Anys   Exprs   Coverage
-------------------------------------------------------------------
                                scriptrag      0       2    100.00%
                         scriptrag.agents      0       1    100.00%
            scriptrag.agents.agent_loader     14     288     95.14%
              scriptrag.agents.agent_spec     23     165     86.06%
           scriptrag.agents.context_query     26     507     94.87%
                  scriptrag.agents.loader      0       1    100.00%
 scriptrag.agents.markdown_agent_analyzer     89     654     86.39%
                      scriptrag.analyzers      0       1    100.00%
                 scriptrag.analyzers.base      0      20    100.00%
              scriptrag.analyzers.builtin      0       2    100.00%
            scriptrag.analyzers.embedding     56     499     88.78%
                            scriptrag.api      0       1    100.00%
                    scriptrag.api.analyze     63     633     90.05%
                scriptrag.api.bible_index     64     575     88.87%
                   scriptrag.api.database     20     239     91.63%
        scriptrag.api.database_operations     86     692     87.57%
                      scriptrag.api.index    102     864     88.19%
                       scriptrag.api.list     19     458     95.85%
                      scriptrag.api.query      5     101     95.05%
                     scriptrag.api.search      8     165     95.15%
                            scriptrag.cli      0       1    100.00%
                   scriptrag.cli.__main__      0       4    100.00%
                   scriptrag.cli.commands      0       1    100.00%
           scriptrag.cli.commands.analyze      8     213     96.24%
             scriptrag.cli.commands.index      5     316     98.42%
              scriptrag.cli.commands.init      0     108    100.00%
              scriptrag.cli.commands.list      0     193    100.00%
               scriptrag.cli.commands.mcp     14      42     66.67%
              scriptrag.cli.commands.pull      5     313     98.40%
             scriptrag.cli.commands.query     31     346     91.04%
            scriptrag.cli.commands.search      5     105     95.24%
             scriptrag.cli.commands.watch     53     381     86.09%
                       scriptrag.cli.main      1      59     98.31%
         scriptrag.cli.utils.file_watcher      8     379     97.89%
                         scriptrag.common      0       1    100.00%
             scriptrag.common.file_source     50     427     88.29%
                         scriptrag.config      2      19     89.47%
                 scriptrag.config.logging      7     154     95.45%
                scriptrag.config.settings     44     351     87.46%
              scriptrag.database.readonly      3     152     98.03%
                            scriptrag.llm      0       1    100.00%
                       scriptrag.llm.base      0      11    100.00%
                     scriptrag.llm.client     81     876     90.75%
            scriptrag.llm.model_discovery    109     583     81.30%
                     scriptrag.llm.models      5     134     96.27%
                  scriptrag.llm.providers      0       1    100.00%
      scriptrag.llm.providers.claude_code     63     781     91.93%
    scriptrag.llm.providers.github_models    113     623     81.86%
scriptrag.llm.providers.openai_compatible     91     560     83.75%
                   scriptrag.llm.registry     19     179     89.39%
                           scriptrag.main      0      16    100.00%
                            scriptrag.mcp      0       1    100.00%
                     scriptrag.mcp.server      2      26     92.31%
                scriptrag.mcp.tools.query     23     223     89.69%
               scriptrag.mcp.tools.search      5     165     96.97%
                      scriptrag.mcp.utils      3      22     86.36%
                         scriptrag.parser      0       1    100.00%
            scriptrag.parser.bible_parser      4     542     99.26%
         scriptrag.parser.fountain_parser    154     736     79.08%
                          scriptrag.query      0       1    100.00%
                   scriptrag.query.engine     30     390     92.31%
                scriptrag.query.formatter     12     253     95.26%
                   scriptrag.query.loader     41     458     91.05%
                     scriptrag.query.spec     20     406     95.07%
                         scriptrag.search      0       1    100.00%
                 scriptrag.search.builder      0     610    100.00%
                  scriptrag.search.engine     72     483     85.09%
               scriptrag.search.formatter      0     510    100.00%
                  scriptrag.search.models      0     227    100.00%
                  scriptrag.search.parser      8     208     96.15%
                  scriptrag.search.vector     69     542     87.27%
                          scriptrag.utils      0       1    100.00%
              scriptrag.utils.llm_factory      5      92     94.57%
               scriptrag.utils.screenplay     49     361     86.43%
-------------------------------------------------------------------
                                    Total   1789   19457     90.81%
