                                     Name   Unannotated   Explicit   Unimported   Omitted Generics   Error   Special Form   Implementation Artifact
---------------------------------------------------------------------------------------------------------------------------------------------------
                                scriptrag             0          0            0                  0       0              0                         0
                         scriptrag.agents             0          0            0                  0       0              0                         0
            scriptrag.agents.agent_loader             0         17            0                 11       0              0                         0
              scriptrag.agents.agent_spec             0         18           22                  0       0              0                         0
           scriptrag.agents.context_query            11        239            0                 40       0              0                         0
                  scriptrag.agents.loader             0          0            0                  0       0              0                         0
 scriptrag.agents.markdown_agent_analyzer             0        182           10                 34       0              0                         0
                      scriptrag.analyzers             0          0            0                  0       0              0                         0
                 scriptrag.analyzers.base             0          6            0                  0       0              0                         0
              scriptrag.analyzers.builtin             0          1            0                  0       0              0                         0
            scriptrag.analyzers.embedding             1        303            0                 98       0              0                         0
                            scriptrag.api             0          0            0                  0       0              0                         0
                    scriptrag.api.analyze             8        180            0                 42       0              0                         0
                scriptrag.api.bible_index             0        117            0                 32       0              0                         0
                   scriptrag.api.database             0         21            0                  4       0              0                         0
        scriptrag.api.database_operations             0        186            0                 16       0              0                         0
                      scriptrag.api.index             2        182            0                114       0              0                         0
                       scriptrag.api.list             0         25            0                 27       0              0                         0
                      scriptrag.api.query             0         14            0                  0       0              0                         0
                     scriptrag.api.search             0          9            0                  0       0              0                         0
                            scriptrag.cli             0          0            0                  0       0              0                         0
                   scriptrag.cli.__main__             0          0            0                  0       0              0                         0
                   scriptrag.cli.commands             0          0            0                  0       0              0                         0
           scriptrag.cli.commands.analyze             0         48            0                  4       0              0                         0
             scriptrag.cli.commands.index             0         48            0                  4       0              0                         0
              scriptrag.cli.commands.init             0         19            0                  0       0              0                         0
              scriptrag.cli.commands.list             0          4            0                 10       0              0                         0
               scriptrag.cli.commands.mcp             0         15            0                  0       0              0                         0
              scriptrag.cli.commands.pull             0         58            0                  4       0              0                         0
             scriptrag.cli.commands.query             0        263            0                 16       1              0                         0
            scriptrag.cli.commands.search             0         11            0                  0       0              0                         0
             scriptrag.cli.commands.watch             0         92            0                  4       0              0                         0
                       scriptrag.cli.main             0         89            0                 18       0              0                         0
                      scriptrag.cli.utils             0          0            0                  0       0              0                         0
         scriptrag.cli.utils.file_watcher             0         14            0                 11       0              0                         0
                         scriptrag.common             0          0            0                  0       0              0                         0
             scriptrag.common.file_source             0         51            0                  8       0              0                         0
                         scriptrag.config             0          3            0                  0       0              0                         0
                 scriptrag.config.logging             0         48            0                  4       0              0                         0
                scriptrag.config.settings             0        245            0                 12       0              0                         0
              scriptrag.database.readonly             0          5            0                 10       0              0                         0
                            scriptrag.llm             0          0            0                  0       0              0                         0
                       scriptrag.llm.base             0          0            0                  0       0              0                         0
                     scriptrag.llm.client             0         90            0                  6       0              0                         0
            scriptrag.llm.model_discovery             0        189            0                 35       0              0                         0
                     scriptrag.llm.models             0         39            0                 39       0              0                         0
                  scriptrag.llm.providers             0          0            0                  0       0              0                         0
      scriptrag.llm.providers.claude_code             9        149            0                 18       0              0                         0
    scriptrag.llm.providers.github_models             0        155            0                  5       0              0                         0
scriptrag.llm.providers.openai_compatible             0        117            0                 25       0              0                         0
                   scriptrag.llm.registry             3         23            0                  5       0              0                         0
                           scriptrag.main             0          0            0                  0       0              0                         0
                            scriptrag.mcp             0          0            0                  0       0              0                         0
                     scriptrag.mcp.server             0          7            0                  0       0              0                         0
                      scriptrag.mcp.tools             0          0            0                  0       0              0                         0
                scriptrag.mcp.tools.query             0         61            0                  4       0              0                         0
               scriptrag.mcp.tools.search             0          7            0                  0       0              0                         0
                      scriptrag.mcp.utils             0         18            0                  0       0              0                         0
                         scriptrag.parser             0          0            0                  0       0              0                         0
            scriptrag.parser.bible_parser             0         60            0                 91       0              0                         0
         scriptrag.parser.fountain_parser             0        195          100                 66       0              0                         0
                          scriptrag.query             0          0            0                  0       0              0                         0
                   scriptrag.query.engine             0         86            0                 50       0              0                         0
                scriptrag.query.formatter             0        116            0                 25       0              0                         0
                   scriptrag.query.loader             0         42            0                 15       0              0                         0
                     scriptrag.query.spec             0         32            0                 27       0              0                         0
                         scriptrag.search             0          0            0                  0       0              0                         0
                 scriptrag.search.builder             0         70            0                  0       0              0                         0
                  scriptrag.search.engine             0        106            0                 27       0              0                         0
               scriptrag.search.formatter             0          9            0                  0       0              0                         0
                  scriptrag.search.models             0         39            0                 66       0              0                         0
                  scriptrag.search.parser             0         22            0                 16       0              0                         0
                  scriptrag.search.vector             3        198            0                 42       0              0                         0
                          scriptrag.utils             0          0            0                  0       0              0                         0
              scriptrag.utils.llm_factory             0          6            0                  6       0              0                         0
               scriptrag.utils.screenplay             0        125            0                 22       0              0                         0
---------------------------------------------------------------------------------------------------------------------------------------------------
                                    Total            37       4474          132               1113       1              0                         0
