                                     Name   Unannotated   Explicit   Unimported   Omitted Generics   Error   Special Form   Implementation Artifact
---------------------------------------------------------------------------------------------------------------------------------------------------
                                scriptrag             0          0            0                  0       0              0                         0
                         scriptrag.agents             0          0            0                  0       0              0                         0
            scriptrag.agents.agent_loader             0         17            0                 11       0              0                         0
              scriptrag.agents.agent_spec             0         18           22                  0       0              0                         0
           scriptrag.agents.context_query            11        275            0                 44       0              0                         0
                  scriptrag.agents.loader             0          0            0                  0       0              0                         0
 scriptrag.agents.markdown_agent_analyzer             0        182           10                 34       0              0                         0
                   scriptrag.agents.types             0          7            0                  0       0              0                         0
                      scriptrag.analyzers             0          0            0                  0       0              0                         0
                 scriptrag.analyzers.base             0          6            0                  0       0              0                         0
              scriptrag.analyzers.builtin             0          1            0                  0       0              0                         0
            scriptrag.analyzers.embedding             1        303            0                 98       0              0                         0
                            scriptrag.api             0          0            0                  0       0              0                         0
                    scriptrag.api.analyze             8        180            0                 42       0              0                         0
                scriptrag.api.bible_index             0        117            0                 32       0              0                         0
                   scriptrag.api.database             0         21            0                  4       0              0                         0
        scriptrag.api.database_operations             0          3            0                  6       0              0                         0
              scriptrag.api.db_connection             0          4            0                 10       0              0                         0
           scriptrag.api.db_embedding_ops             0         41            0                 20       0              0                         0
               scriptrag.api.db_scene_ops             0        108            0                  4       0              0                         0
              scriptrag.api.db_script_ops             0        114            0                 30       0              0                         0
          scriptrag.api.embedding_service             0        186            0                 57       0              0                         0
                      scriptrag.api.index             2        172            0                 91       0              0                         0
                       scriptrag.api.list             0         25            0                 27       0              0                         0
                      scriptrag.api.query             0         14            0                  0       0              0                         0
             scriptrag.api.scene_database             0        146            0                  0       0              0                         0
           scriptrag.api.scene_management             0         46            0                  0       0              0                         0
               scriptrag.api.scene_models             0         46            0                 70       0              0                         0
            scriptrag.api.scene_validator             0          6            0                  0       0              0                         0
                     scriptrag.api.search             0          9            0                  0       0              0                         0
            scriptrag.api.semantic_search             0        183            0                 12       0              0                         0
        scriptrag.api.semantic_search_vss             0        222            0                 24       0              0                         0
                      scriptrag.api.types             0          6            0                  0       0              0                         0
                            scriptrag.cli             0          0            0                  0       0              0                         0
                   scriptrag.cli.__main__             0          0            0                  0       0              0                         0
                   scriptrag.cli.commands             0          0            0                  0       0              0                         0
           scriptrag.cli.commands.analyze             0         50            0                  4       0              0                         0
             scriptrag.cli.commands.index             0         52            0                  4       0              0                         0
              scriptrag.cli.commands.init             0         25            0                  0       0              0                         0
              scriptrag.cli.commands.list             0          6            0                 10       0              0                         0
               scriptrag.cli.commands.mcp             0         15            0                  0       0              0                         0
              scriptrag.cli.commands.pull             0         59            0                  4       0              0                         0
             scriptrag.cli.commands.query             0        374            0                 20       1              0                         0
             scriptrag.cli.commands.scene             0        165            2                100       0              0                         0
            scriptrag.cli.commands.search             0         10            0                  0       0              0                         0
             scriptrag.cli.commands.watch             0         93            0                  4       0              0                         0
                       scriptrag.cli.main             0         97            0                 18       0              0                         0
                      scriptrag.cli.utils             0          0            0                  0       0              0                         0
        scriptrag.cli.utils.error_handler             0         52            0                  2       0              0                         0
         scriptrag.cli.utils.file_watcher             0         16            0                 11       0              0                         0
                         scriptrag.common             0          0            0                  0       0              0                         0
             scriptrag.common.file_source             0         51            0                  8       0              0                         0
                         scriptrag.config             0          3            0                  0       0              0                         0
                 scriptrag.config.logging             0         48            0                  4       0              0                         0
                scriptrag.config.settings             0        269            0                 28       0              0                         0
                scriptrag.config.template             0          0            0                  0       0              0                         0
              scriptrag.database.readonly             0          5            0                 10       0              0                         0
                     scriptrag.exceptions             0         53            0                  3       0              0                         0
                            scriptrag.llm             0          0            0                  0       0              0                         0
                       scriptrag.llm.base             0          0            0                  0       0              0                         0
                     scriptrag.llm.client             0        103            0                  0       0              0                         0
             scriptrag.llm.discovery_base             0         24            0                  0       0              0                         0
            scriptrag.llm.discovery_types             0          0            0                  0       0              0                         0
                   scriptrag.llm.fallback             0         94            0                  0       0              0                         0
                    scriptrag.llm.metrics             0          4            0                 20       0              0                         0
                scriptrag.llm.model_cache             0        106            0                 33       0              0                         0
            scriptrag.llm.model_discovery             7        138            0                 92       0              0                         0
                     scriptrag.llm.models             0         39            0                 39       0              0                         0
                  scriptrag.llm.protocols             0          1            0                  6       0              0                         0
